m,TagName,
"2010-12-01 00:00:00","java","5667"
"2010-12-01 00:00:00","javascript","4955"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5372"
"2010-12-01 00:00:00","python","2472"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7977"
"2011-01-01 00:00:00","c++","3484"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6529"
"2011-01-01 00:00:00","javascript","5416"
"2011-01-01 00:00:00","perl","477"
"2011-01-01 00:00:00","php","6397"
"2011-01-01 00:00:00","python","2896"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1633"
"2011-02-01 00:00:00","c#","8205"
"2011-02-01 00:00:00","c++","3435"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6853"
"2011-02-01 00:00:00","javascript","5589"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6685"
"2011-02-01 00:00:00","python","3008"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","c","2108"
"2011-03-01 00:00:00","c#","9966"
"2011-03-01 00:00:00","c++","4167"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8448"
"2011-03-01 00:00:00","javascript","6756"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8063"
"2011-03-01 00:00:00","python","3741"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1636"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2032"
"2011-04-01 00:00:00","c#","9253"
"2011-04-01 00:00:00","c++","4159"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7882"
"2011-04-01 00:00:00","javascript","6871"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7613"
"2011-04-01 00:00:00","python","3330"
"2011-04-01 00:00:00","r","475"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1820"
"2011-05-01 00:00:00","c#","9964"
"2011-05-01 00:00:00","c++","3865"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8526"
"2011-05-01 00:00:00","javascript","7288"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8053"
"2011-05-01 00:00:00","python","3509"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1563"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1761"
"2011-06-01 00:00:00","c#","9715"
"2011-06-01 00:00:00","c++","3797"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7860"
"2011-06-01 00:00:00","javascript","7655"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","7993"
"2011-06-01 00:00:00","python","3461"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1554"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1655"
"2011-07-01 00:00:00","c#","9557"
"2011-07-01 00:00:00","c++","3845"
"2011-07-01 00:00:00","delphi","427"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8122"
"2011-07-01 00:00:00","javascript","8077"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8615"
"2011-07-01 00:00:00","python","3649"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1577"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c#","10001"
"2011-08-01 00:00:00","c++","3943"
"2011-08-01 00:00:00","delphi","422"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8635"
"2011-08-01 00:00:00","javascript","8863"
"2011-08-01 00:00:00","perl","611"
"2011-08-01 00:00:00","php","8843"
"2011-08-01 00:00:00","python","3814"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c","1914"
"2011-09-01 00:00:00","c#","9241"
"2011-09-01 00:00:00","c++","3925"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8284"
"2011-09-01 00:00:00","javascript","8139"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7997"
"2011-09-01 00:00:00","python","3506"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2137"
"2011-10-01 00:00:00","c#","9161"
"2011-10-01 00:00:00","c++","4335"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8508"
"2011-10-01 00:00:00","javascript","7974"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","7986"
"2011-10-01 00:00:00","python","3601"
"2011-10-01 00:00:00","r","619"
"2011-10-01 00:00:00","ruby","1602"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2193"
"2011-11-01 00:00:00","c#","9840"
"2011-11-01 00:00:00","c++","4453"
"2011-11-01 00:00:00","delphi","505"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9570"
"2011-11-01 00:00:00","javascript","8611"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","php","8611"
"2011-11-01 00:00:00","python","3854"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1733"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","2002"
"2011-12-01 00:00:00","c#","9254"
"2011-12-01 00:00:00","c++","4333"
"2011-12-01 00:00:00","delphi","571"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9127"
"2011-12-01 00:00:00","javascript","8280"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8268"
"2011-12-01 00:00:00","python","3604"
"2011-12-01 00:00:00","r","613"
"2011-12-01 00:00:00","ruby","1668"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2219"
"2012-01-01 00:00:00","c#","10335"
"2012-01-01 00:00:00","c++","4521"
"2012-01-01 00:00:00","delphi","509"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10059"
"2012-01-01 00:00:00","javascript","9536"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","php","9205"
"2012-01-01 00:00:00","python","4182"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1890"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","230"
"2012-02-01 00:00:00","c","2398"
"2012-02-01 00:00:00","c#","10690"
"2012-02-01 00:00:00","c++","5083"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10888"
"2012-02-01 00:00:00","javascript","9923"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9829"
"2012-02-01 00:00:00","python","4477"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2034"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2714"
"2012-03-01 00:00:00","c#","11520"
"2012-03-01 00:00:00","c++","5204"
"2012-03-01 00:00:00","delphi","494"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12306"
"2012-03-01 00:00:00","javascript","10639"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10784"
"2012-03-01 00:00:00","python","5013"
"2012-03-01 00:00:00","r","888"
"2012-03-01 00:00:00","ruby","2178"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c","2662"
"2012-04-01 00:00:00","c#","11063"
"2012-04-01 00:00:00","c++","5280"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11962"
"2012-04-01 00:00:00","javascript","10617"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10323"
"2012-04-01 00:00:00","python","4904"
"2012-04-01 00:00:00","r","838"
"2012-04-01 00:00:00","ruby","1961"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c","2474"
"2012-05-01 00:00:00","c#","11503"
"2012-05-01 00:00:00","c++","4966"
"2012-05-01 00:00:00","delphi","478"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12116"
"2012-05-01 00:00:00","javascript","11469"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10846"
"2012-05-01 00:00:00","python","5068"
"2012-05-01 00:00:00","r","874"
"2012-05-01 00:00:00","ruby","1967"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","c","2304"
"2012-06-01 00:00:00","c#","11288"
"2012-06-01 00:00:00","c++","4632"
"2012-06-01 00:00:00","delphi","417"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11072"
"2012-06-01 00:00:00","javascript","11196"
"2012-06-01 00:00:00","perl","739"
"2012-06-01 00:00:00","php","10501"
"2012-06-01 00:00:00","python","5260"
"2012-06-01 00:00:00","r","973"
"2012-06-01 00:00:00","ruby","1885"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2366"
"2012-07-01 00:00:00","c#","12295"
"2012-07-01 00:00:00","c++","5261"
"2012-07-01 00:00:00","delphi","439"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12224"
"2012-07-01 00:00:00","javascript","12299"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11680"
"2012-07-01 00:00:00","python","5718"
"2012-07-01 00:00:00","r","1117"
"2012-07-01 00:00:00","ruby","2058"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2313"
"2012-08-01 00:00:00","c#","11932"
"2012-08-01 00:00:00","c++","5158"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12232"
"2012-08-01 00:00:00","javascript","12420"
"2012-08-01 00:00:00","perl","761"
"2012-08-01 00:00:00","php","11850"
"2012-08-01 00:00:00","python","5856"
"2012-08-01 00:00:00","r","1088"
"2012-08-01 00:00:00","ruby","2057"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","222"
"2012-09-01 00:00:00","c","2527"
"2012-09-01 00:00:00","c#","11256"
"2012-09-01 00:00:00","c++","4901"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11601"
"2012-09-01 00:00:00","javascript","11155"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10935"
"2012-09-01 00:00:00","python","5247"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1953"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3151"
"2012-10-01 00:00:00","c#","12703"
"2012-10-01 00:00:00","c++","5898"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13458"
"2012-10-01 00:00:00","javascript","12398"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11706"
"2012-10-01 00:00:00","python","6123"
